labeling,level,metric,F,p,eta2,groups,n,bonferroni_sig
centroid_primary,pitch,whiff,18.10937016032295,3.059944178023452e-189,0.019662840416761564,62,55138,True
centroid_primary,pitcher,whiff,7.907691845679432,7.4587125279439e-52,0.22111848817774338,56,1588,True
centroid_primary,pitch,chase,5.352413728265155,2.0894237759124037e-38,0.0049755667389823205,63,66427,True
centroid_primary,pitcher,chase,3.359601850101707,3.4250754369771375e-15,0.09336220709337129,57,1884,True
centroid_primary,pitch,gb,7.589802338914103,2.118914449687099e-58,0.020907921168172867,58,20317,True
centroid_primary,pitcher,gb,3.880903903107294,3.5990151223332466e-10,0.17678776993784337,29,535,True
centroid_primary,pitch,fb,4.20871456339297,4.1184849811411996e-24,0.011702909345408088,58,20317,True
centroid_primary,pitcher,fb,2.336520818687375,0.0001620876585098363,0.11449071996518213,29,535,True
centroid_primary,pitch,xwoba,1.3732148325044946,0.032526742486481644,0.003882741431187853,58,20139,False
centroid_primary,pitcher,xwoba,0.9698339503695597,0.5069300520346729,0.04696570213109167,26,518,False
mapper_primary,pitch,whiff,15.489408827155696,6.338007236973543e-137,0.016443788085335836,54,49157,True
mapper_primary,pitcher,whiff,9.104330624982943,1.1567203023434863e-39,0.18772485330777267,34,1334,True
mapper_primary,pitch,chase,3.893942063159043,1.357428350387013e-20,0.0036530925543050595,56,58468,True
mapper_primary,pitcher,chase,2.577122651527868,1.1528150293020322e-06,0.057454651038398544,37,1559,True
mapper_primary,pitch,gb,4.909891558892618,2.2985013745786364e-22,0.010841966026161333,41,17959,True
mapper_primary,pitcher,gb,2.1814525934210076,0.003436886967556536,0.07349547959470604,19,514,False
mapper_primary,pitch,fb,3.2041573949664754,4.0778114751328154e-11,0.0071021342537720905,41,17959,True
mapper_primary,pitcher,fb,2.3182608721734743,0.0016722766773882333,0.07774634751877449,19,514,True
mapper_primary,pitch,xwoba,1.1593124310750413,0.22651285123555465,0.0026039716571618636,41,17803,False
mapper_primary,pitcher,xwoba,1.3134585414718978,0.1784707315492084,0.044186667011451464,18,501,False
