origin_cluster,origin_degree,origin_train_n,reassigned_to,is_graph_neighbor,dist_to_own_centroid,dist_to_reassigned_centroid,margin_normalized
cube3_cluster0,3,268,cube22_cluster0,False,1.8454771082711963,1.6268864709829585,0.05547255530269084
cube3_cluster0,3,268,cube13_cluster1,False,2.103254895474481,1.8534868967792444,0.06338454973345496
cube3_cluster0,3,268,cube13_cluster1,False,1.9160330114071171,1.479393402899027,0.11080765000182213
cube3_cluster0,3,268,cube12_cluster0,True,1.1383137659607179,1.0684191072905955,0.017737426298494497
cube3_cluster0,3,268,cube4_cluster0,True,1.1730988422570152,1.0192062485265374,0.03905389326044946
cube3_cluster0,3,268,cube12_cluster0,True,2.021347821628441,1.9761995702290647,0.011457438907912678
cube3_cluster0,3,268,cube12_cluster0,True,1.523343421902069,1.4706756847279996,0.01336568665200263
cube3_cluster0,3,268,cube12_cluster0,True,1.198624851383271,1.1697890347362063,0.007317771948042242
cube3_cluster0,3,268,cube22_cluster0,False,1.5774353991377639,1.557352076879319,0.005096619043085124
cube3_cluster0,3,268,cube12_cluster0,True,1.5944136136039775,1.5706585105721709,0.006028420443806074
cube3_cluster0,3,268,cube12_cluster0,True,1.6156792959945947,1.547487930535098,0.017305175274409997
cube3_cluster0,3,268,cube12_cluster0,True,1.1179657426810385,1.009982085993446,0.027403412340532018
cube3_cluster0,3,268,cube4_cluster0,True,1.6641759803291063,1.5425246268711108,0.030871914351241824
cube3_cluster0,3,268,cube13_cluster1,False,2.1229441557191984,2.086092432107343,0.009351998335420565
cube3_cluster0,3,268,cube13_cluster1,False,2.2329330916242456,1.9492247652138248,0.07199771235345029
cube3_cluster0,3,268,cube4_cluster0,True,1.7829852723845823,1.5704709198626665,0.05393055402159189
cube3_cluster0,3,268,cube4_cluster0,True,1.8156712217802884,1.520183836005182,0.07498692785749585
cube3_cluster0,3,268,cube22_cluster0,False,2.542773811727209,2.4353554162048843,0.02725996392188162
cube3_cluster0,3,268,cube12_cluster0,True,1.5959233519447873,1.564154078362551,0.008062206174883367
cube3_cluster0,3,268,cube12_cluster0,True,1.082105346313991,1.043354230689726,0.009834014078441346
cube3_cluster0,3,268,cube12_cluster0,True,1.7428316376289843,1.716135428418713,0.006774795847437104
cube3_cluster0,3,268,cube23_cluster1,False,2.14335406454727,1.6168297437992838,0.13361802620297336
cube3_cluster0,3,268,cube4_cluster0,True,1.9168984517451824,1.891404205006913,0.006469769380946796
cube3_cluster0,3,268,cube22_cluster0,False,2.752423712440303,2.4513340810959106,0.07640863045654948
cube3_cluster0,3,268,cube12_cluster0,True,1.2712966354901134,1.2111152959408071,0.015272441344030723
cube3_cluster0,3,268,cube12_cluster0,True,2.192433183508065,2.151295186791401,0.010439741730099452
cube3_cluster0,3,268,cube12_cluster0,True,1.1364468481336454,1.1127872245299966,0.006004190275833378
cube3_cluster0,3,268,cube13_cluster1,False,2.631262374975989,1.6858440273221196,0.23992231426295343
cube3_cluster0,3,268,cube4_cluster0,True,1.9502917623455507,1.647364270975602,0.07687503099945946
cube3_cluster0,3,268,cube13_cluster1,False,1.8268804023488407,1.5258508275032097,0.0763933896965144
