kind,h0_median,h0_p99,h0_max,h0_long_bars,h1_long_loops_mean,h1_max_persistence
real,1.0,2.5202714653027845,5.969969435674149,17,0.0,0.8681357630874512
null_gauss,1.5438612967891914,2.7665375629890567,4.003683458892949,18,0.0,0.7532593606644801
null_shuffle,1.2538520420530688,3.436648516774733,5.159997712947521,64,0.0,1.2430665547489275
null_gauss,1.530148286656375,2.735691063559843,5.288185699965237,19,0.0,0.8062833940641422
null_shuffle,1.2529303077281286,3.2835733081844576,5.562345376664717,64,0.0,1.085618487906123
null_gauss,1.5237226257536456,2.79617096804279,4.44939015919581,23,0.0,0.8058524194602079
null_shuffle,1.236471965019402,3.354223162841399,5.995548248002579,60,0.0,1.45332901141287
null_gauss,1.5213724401915123,2.792291527014068,4.2893472704398246,20,0.0,0.8801120568754298
null_shuffle,1.2476479556642268,3.2916893947941754,6.258841381823194,61,0.0,1.1755046244331555
null_gauss,1.526643443953192,2.7605257090134456,4.497255819646346,17,0.0,0.7915854556506393
null_shuffle,1.2514945083565463,3.3370055187098138,5.746076215806446,57,0.0,1.2213878712737296
