pitcher_id,pitch_type,pitch_count,num_clusters,top_cluster,top_cluster_pct,top_3_clusters_pct,top_5_clusters_pct,concentration,entropy,consistency_score,num_clusters_used,cluster_rank1,cluster_rank1_pct,cluster_rank2,cluster_rank2_pct,cluster_rank3,cluster_rank3_pct
681190,ST,70,30,cube4_cluster0,15.71,34.28,45.7,15.71,3.0670517616349193,15.71,30,cube4_cluster0,15.71,cube5_cluster0,11.43,cube22_cluster0,7.14
681676,FF,64,32,cube4_cluster0,9.38,23.44,35.94,9.38,3.2404514547234626,9.38,32,cube4_cluster0,9.38,cube5_cluster0,7.81,cube3_cluster0,6.25
681676,SL,64,31,cube4_cluster0,20.31,34.37,43.74999999999999,20.31,3.103445883287121,20.31,31,cube4_cluster0,20.31,cube5_cluster0,7.81,cube22_cluster0,6.25
681867,CH,48,21,cube4_cluster0,18.75,45.83,62.5,18.75,2.656213706156384,18.75,21,cube4_cluster0,18.75,cube14_cluster0,14.58,cube5_cluster0,12.5
681867,FC,40,21,cube4_cluster0,22.5,37.5,50.0,22.5,2.7740293641229776,22.5,21,cube4_cluster0,22.5,cube65_cluster1,7.5,cube59_cluster1,7.5
681867,SI,80,31,cube4_cluster0,8.75,26.25,36.25,8.75,3.2104422731377404,8.75,31,cube4_cluster0,8.75,cube5_cluster0,8.75,cube22_cluster0,8.75
681867,ST,8,7,cube22_cluster0,25.0,50.0,75.0,25.0,1.9061547465398496,25.0,7,cube22_cluster0,25.0,cube67_cluster2,12.5,cube52_cluster1,12.5
682120,CU,28,21,cube4_cluster0,17.86,32.14,42.85,17.86,2.8955870435768385,17.86,21,cube4_cluster0,17.86,cube12_cluster0,7.14,cube67_cluster2,7.14
682120,FF,36,24,cube22_cluster0,11.11,27.769999999999996,38.89,11.11,3.055069425976956,11.11,24,cube22_cluster0,11.11,cube24_cluster0,8.33,cube4_cluster0,8.33
682120,SI,20,15,cube5_cluster0,15.0,35.0,50.0,15.0,2.622996276085791,15.0,15,cube5_cluster0,15.0,cube23_cluster0,10.0,cube4_cluster0,10.0
682120,SL,8,8,cube43_cluster0,12.5,37.5,62.5,12.5,2.0794415416798357,12.5,8,cube43_cluster0,12.5,cube44_cluster0,12.5,cube5_cluster0,12.5
682842,SI,30,21,cube4_cluster0,13.33,26.67,40.010000000000005,13.33,2.938286194880452,13.33,21,cube4_cluster0,13.33,cube44_cluster0,6.67,cube14_cluster0,6.67
682842,SL,42,24,cube4_cluster0,11.9,26.18,40.46,11.9,3.033324854434195,11.9,24,cube4_cluster0,11.9,cube22_cluster0,7.14,cube5_cluster0,7.14
683409,CH,77,35,cube4_cluster0,14.29,32.47,42.849999999999994,14.29,3.23244168155068,14.29,35,cube4_cluster0,14.29,cube22_cluster0,9.09,cube5_cluster0,9.09
683409,FF,35,20,cube5_cluster0,14.29,31.43,48.57,14.29,2.8305298180416343,14.29,20,cube5_cluster0,14.29,cube23_cluster1,8.57,cube13_cluster0,8.57
683409,SL,28,18,cube5_cluster0,10.71,32.13,46.410000000000004,10.71,2.7803245852434806,10.71,18,cube5_cluster0,10.71,cube4_cluster0,10.71,cube12_cluster0,10.71
683769,FF,15,10,cube4_cluster0,26.67,53.33,66.67,26.67,2.153873997953586,26.67,10,cube4_cluster0,26.67,cube3_cluster0,13.33,cube22_cluster0,13.33
683769,SL,70,30,cube4_cluster0,14.29,32.86,44.28,14.29,3.102108899201769,14.29,30,cube4_cluster0,14.29,cube5_cluster0,10.0,cube23_cluster0,8.57
684007,CU,16,11,cube5_cluster0,25.0,50.0,62.5,25.0,2.252728336819822,25.0,11,cube5_cluster0,25.0,cube4_cluster0,12.5,cube58_cluster0,12.5
684007,FF,416,54,cube4_cluster0,12.98,25.96,36.06,12.98,3.53837162453837,12.98,54,cube4_cluster0,12.98,cube5_cluster0,6.97,cube14_cluster0,6.01
684007,FS,169,44,cube4_cluster0,9.47,23.67,34.33,9.47,3.430246586017792,9.47,44,cube4_cluster0,9.47,cube23_cluster0,7.1,cube22_cluster0,7.1
684007,SI,8,8,cube78_cluster0,12.5,37.5,62.5,12.5,2.0794415416798357,12.5,8,cube78_cluster0,12.5,cube59_cluster1,12.5,cube6_cluster3,12.5
684007,ST,94,35,cube4_cluster0,22.34,38.300000000000004,48.940000000000005,22.34,3.074859605374157,22.34,35,cube4_cluster0,22.34,cube33_cluster0,8.51,cube14_cluster0,7.45
684320,FF,64,28,cube4_cluster0,10.94,26.57,39.07,10.94,3.115865202709279,10.94,28,cube4_cluster0,10.94,cube13_cluster0,9.38,cube12_cluster0,6.25
684320,FS,32,21,cube23_cluster1,12.5,31.25,43.75,12.5,2.900827243163906,12.5,21,cube23_cluster1,12.5,cube4_cluster0,12.5,cube23_cluster0,6.25
684320,SI,16,13,cube13_cluster0,12.5,37.5,50.0,12.5,2.512658529529802,12.5,13,cube13_cluster0,12.5,cube22_cluster0,12.5,cube5_cluster0,12.5
684320,SL,40,23,cube4_cluster0,12.5,30.0,42.5,12.5,2.9763342814794864,12.5,23,cube4_cluster0,12.5,cube5_cluster0,10.0,cube13_cluster0,7.5
685126,CH,42,25,cube4_cluster0,19.05,35.71,45.23,19.05,2.9653294678865154,19.05,25,cube4_cluster0,19.05,cube13_cluster0,9.52,cube22_cluster0,7.14
685126,FF,7,7,cube59_cluster3,14.29,42.87,71.44999999999999,14.29,1.9461938771045295,14.29,7,cube59_cluster3,14.29,cube4_cluster0,14.29,cube12_cluster0,14.29
685126,SI,49,29,cube5_cluster0,10.2,24.48,36.72,10.2,3.1923626278120767,10.2,29,cube5_cluster0,10.2,cube23_cluster1,8.16,cube4_cluster0,6.12
685126,SL,77,32,cube4_cluster0,25.97,41.550000000000004,50.64,25.97,2.965978341985057,25.97,32,cube4_cluster0,25.97,cube5_cluster0,9.09,cube22_cluster0,6.49
685801,CU,6,6,cube15_cluster2,16.67,50.010000000000005,83.35000000000001,16.67,1.7919178011232335,16.67,6,cube15_cluster2,16.67,cube23_cluster0,16.67,cube52_cluster0,16.67
685801,FF,24,15,cube5_cluster0,16.67,41.67,58.33,16.67,2.5574804340840345,16.67,15,cube5_cluster0,16.67,cube13_cluster1,12.5,cube44_cluster0,12.5
685801,SI,6,6,cube14_cluster0,16.67,50.010000000000005,83.35000000000001,16.67,1.7919178011232335,16.67,6,cube14_cluster0,16.67,cube57_cluster0,16.67,cube6_cluster0,16.67
685801,SL,42,24,cube4_cluster0,21.43,38.089999999999996,47.60999999999999,21.43,2.8764970807854473,21.43,24,cube4_cluster0,21.43,cube14_cluster0,11.9,cube23_cluster1,4.76
686563,CH,168,45,cube4_cluster0,11.31,24.4,35.71,11.31,3.480383716018869,11.31,45,cube4_cluster0,11.31,cube23_cluster0,7.14,cube23_cluster1,5.95
686563,FC,126,40,cube4_cluster0,17.46,34.92,46.03,17.46,3.21052481785323,17.46,40,cube4_cluster0,17.46,cube22_cluster0,9.52,cube5_cluster0,7.94
686563,FF,91,35,cube4_cluster0,19.78,32.97,41.769999999999996,19.78,3.1810670901682068,19.78,35,cube4_cluster0,19.78,cube5_cluster0,8.79,cube13_cluster1,4.4
