pitcher_id,pitch_a,cluster_a,pitch_b,cluster_b,same_cluster
543243,CH,cube13_cluster0,FF,cube23_cluster0,False
543243,CH,cube13_cluster0,PO,cube22_cluster0,False
543243,CH,cube13_cluster0,SI,cube13_cluster0,True
543243,CS,cube73_cluster0,CU,cube73_cluster0,True
543243,CS,cube73_cluster0,ST,cube66_cluster0,False
543243,CU,cube73_cluster0,ST,cube66_cluster0,False
543243,FC,cube51_cluster0,SL,cube58_cluster0,False
543243,FF,cube23_cluster0,PO,cube22_cluster0,True
543243,FF,cube23_cluster0,SI,cube13_cluster0,False
543243,PO,cube22_cluster0,SI,cube13_cluster0,False
543243,SL,cube58_cluster0,ST,cube66_cluster0,False
543391,FF,cube12_cluster0,SI,cube12_cluster0,True
543518,FF,cube13_cluster0,FS,cube12_cluster0,False
543518,FF,cube13_cluster0,SI,cube13_cluster0,True
543518,FS,cube12_cluster0,SI,cube13_cluster0,False
543859,FF,cube14_cluster0,SI,cube14_cluster0,True
544150,CH,cube13_cluster0,FC,cube23_cluster0,False
544150,CH,cube13_cluster0,FF,cube12_cluster0,True
544150,CU,cube65_cluster0,SV,cube58_cluster0,True
544150,FC,cube23_cluster0,FF,cube12_cluster0,False
547001,CU,cube72_cluster0,ST,cube66_cluster0,True
547001,FF,cube12_cluster0,SI,cube12_cluster0,True
547179,CH,cube12_cluster0,FC,cube23_cluster0,False
547179,CH,cube12_cluster0,FF,cube13_cluster0,True
547179,CH,cube12_cluster0,SI,cube13_cluster0,True
547179,CU,cube66_cluster0,SL,cube58_cluster0,False
547179,CU,cube66_cluster0,ST,cube66_cluster0,True
547179,FC,cube23_cluster0,FF,cube13_cluster0,False
547179,FC,cube23_cluster0,SI,cube13_cluster0,False
547179,FF,cube13_cluster0,SI,cube13_cluster0,True
547179,SL,cube58_cluster0,ST,cube66_cluster0,False
547184,CH,cube12_cluster0,FF,cube12_cluster0,True
547184,CH,cube12_cluster0,SI,cube12_cluster0,True
